Gene_symbol	Description
FRA7A	fragile site, folic acid type, rare, fra(7)(p11.2)
FRA7B	fragile site, aphidicolin type, common, fra(7)(p22)
FRA7C	fragile site, aphidicolin type, common, fra(7)(p14.2)
FRA7D	fragile site, aphidicolin type, common, fra(7)(p13)
FRA7E	fragile site, aphidicolin type, common, fra(7)(q21.2)
FRA7F	fragile site, aphidicolin type, common, fra(7)(q22)
FRA7G	fragile site, aphidicolin type, common, fra(7)(q31.2)
FRA7H	fragile site, aphidicolin type, common, fra(7)(q32.3)
FRA7I	fragile site, aphidicolin type, common, fra(7)(q36)
FRA7J	fragile site, aphidicolin type, common, fra(7)(q11)
FRA8A	fragile site, folic acid type, rare, fra(8)(q22.3)
FRA8B	fragile site, aphidicolin type, common, fra(8)(q22.1)
FRA8C	fragile site, aphidicolin type, common, fra(8)(q24.1)
FRA8D	fragile site, aphidicolin type, common, fra(8)(q24.3)
FRA8E	fragile site, distamycin A type, rare, fra(8)(q24.1)
FRA8F	fragile site, unclassified, rare, fra(8)(q13)
FRA9A	fragile site, folic acid type, rare, fra(9)(p21)
FRA9B	fragile site, folic acid type, rare, fra(9)(q32)
FRA9C	fragile site, BrdU type, common, fra(9)(p21)
FRA9D	fragile site, aphidicolin type, common, fra(9)(q22.1)
FRA9E	fragile site, aphidicolin type, common, fra(9)(q32)
FRA9F	fragile site, 5-azacytidine type, common, fra(9)(q12)
FRAP1	FK506 binding protein 12-rapamycin associated protein 1
FRAT1	frequently rearranged in advanced T-cell lymphomas
FRAXA	fragile site, folic acid type, rare, fra(X)(q27.3), (macroorchidism, mental retardation)
FRAXB	fragile site, aphidicolin type, common, fra(X)(p22.31)
FRAXC	fragile site, aphidicolin type, common, fra(X)(q22.1)
FRAXD	fragile site, aphidicolin type, common, fra(X)(q27.2)
FRAXE	fragile site, folic acid type, rare, fra(X)(q28)
FRAXF	fragile site, folic acid type, rare, fra(X)(q28)
FRDA	Friedreich ataxia
FRDA2	Friedreich ataxia 2
FREQ	frequenin (Drosophila) homolog
FRG1	FSHD region gene 1
FRK	fyn-related kinase
FRV1	full length retroviral sequence 1 (band F6, 14.5kb)
FRV2	full length retroviral sequence 2 (band F9, 11.2kb)
FRV3	full length retroviral sequence 3 (band F21, 3.5kb)
FRZB	frizzled-related protein
FSCN2	fascin (Strongylocentrotus purpuratus) homolog 2 (actin-bundling protein, retinal)
FSCN3	fascin (Strongylocentrotus purpuratus) homolog 3 (actin-bundling protein, testicular)
FSGS1	focal segmental glomerulosclerosis 1
FSGS2	focal segmental glomerulosclerosis 2
FSHB	follicle stimulating hormone, beta polypeptide
FSHMD1A	facioscapulohumeral muscular dystrophy 1A
FSHMD1B	facioscapulohumeral muscular dystrophy 1B
FSHPRH1	FSH primary response (LRPR1, rat) homolog 1
FSHR	follicle stimulating hormone receptor
FSP	fibroblast secretory protein
FST	follistatin
FSTL1	follistatin-like 1
FSTL3	follistatin-like 3 (secreted glycoprotein)
FTCD	formiminotransferase cyclodeaminase
FTH1	ferritin, heavy polypeptide 1
FTHFD	formyltetrahydrofolate dehydrogenase
FTHL1	ferritin, heavy polypeptide-like 1
FTHL10	ferritin, heavy polypeptide-like 10
FTHL11	ferritin, heavy polypeptide-like 11
FTHL12	ferritin, heavy polypeptide-like 12
FTHL13	ferritin, heavy polypeptide-like 13
FTHL14	ferritin, heavy polypeptide-like 14
FTHL15	ferritin, heavy polypeptide-like 15
FTHL16	ferritin, heavy polypeptide-like 16
FTHL17	ferritin, heavy polypeptide-like 17
FTHL18	ferritin, heavy polypeptide-like 18
FTHL2	ferritin, heavy polypeptide-like 2
FTHL3	ferritin, heavy polypeptide-like 3
FTHL4	ferritin, heavy polypeptide-like 4
FTHL7	ferritin, heavy polypeptide-like 7
FTHL8	ferritin, heavy polypeptide-like 8
FTHP1	ferritin, heavy polypeptide pseudogene 1
FTHP2	ferritin, heavy polypeptide pseudogene 2
FTHP3	ferritin, heavy polypeptide pseudogene 3
FTL	ferritin, light polypeptide
FTLL1	ferritin, light polypeptide-like 1
FTLL2	ferritin, light polypeptide-like 2
FUBP1	far upstream element (FUSE) binding protein 1
FUBP3	far upstream element (FUSE) binding protein 3
FUCA1	fucosidase, alpha-L- 1, tissue
FUCA1P	fucosidase, alpha-L- 1, tissue pseudogene
FUCA2	fucosidase, alpha-L- 2, plasma
FUS	fusion, derived from t(12;16) malignant liposarcoma
FUSE	polykaryocytosis promoter
FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, Bombay phenotype included)
FUT2	fucosyltransferase 2 (secretor status included)
FUT3	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included)
FUT4	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)
FUT5	fucosyltransferase 5 (alpha (1,3) fucosyltransferase)
FUT6	fucosyltransferase 6 (alpha (1,3) fucosyltransferase)
FUT7	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)
FUT8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
FUT9	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)
FVT1	follicular lymphoma variant translocation 1
FXC1	fracture callus 1 (rat) homolog
FXR1	fragile X mental retardation, autosomal homolog 1
FXR2	fragile X mental retardation, autosomal homolog 2
FXYD1	FXYD domain-containing ion transport regulator 1 (phospholemman)
FXYD2	FXYD domain-containing ion transport regulator 2
FXYD3	FXYD domain-containing ion transport regulator 3
FXYD4	FXYD domain-containing ion transport regulator 4
FXYD5	FXYD domain-containing ion transport regulator 5
FXYD6	FXYD domain-containing ion transport regulator 6
FXYD6P1	FXYD domain-containing ion transport regulator 6, pseudogene 1
FXYD6P2	FXYD domain-containing ion transport regulator 6, pseudogene 2
FXYD6P3	FXYD domain-containing ion transport regulator 6, pseudogene 3
FXYD7	FXYD domain-containing ion transport regulator 7
FY	Duffy blood group
FYB	FYN-binding protein (FYB-120/130)
FYN	FYN oncogene related to SRC, FGR, YES
FZD1	frizzled (Drosophila) homolog 1
FZD10	frizzled (Drosophila) homolog 10
FZD2	frizzled (Drosophila) homolog 2
FZD3	frizzled (Drosophila) homolog 3
FZD4	frizzled (Drosophila) homolog 4
FZD5	frizzled (Drosophila) homolog 5
FZD6	frizzled (Drosophila) homolog 6
FZD7	frizzled (Drosophila) homolog 7
FZD8	frizzled (Drosophila) homolog 8
FZD9	frizzled (Drosophila) homolog 9
G1P2	interferon, alpha-inducible protein (clone IFI-15K)
G1P3	interferon, alpha-inducible protein (clone IFI-6-16)
G22P1	thyroid autoantigen 70kD (Ku antigen)
G6PC	glucose-6-phosphatase, catalytic (glycogen storage disease type I, von Gierke disease)
G6PD	glucose-6-phosphate dehydrogenase
G6PDL	glucose-6-phosphate dehydrogenase-like
G6PR	glucose-6-phosphatase, regulatory
G6PT1	glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1
G6PT2	glucose-6-phosphatase, transport (phosphate/pyrophosphate) protein 2
G6PT3	glucose-6-phosphatase, transport (glucose) protein 3
G7P1	kinase-like protein
GAA	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
GAB1	GRB2-associated binding protein 1
GABARAP	GABA(A) receptor-associated protein
GABARAPL1	GABA(A) receptor-associated protein like 1
GABARAPL3	GABA(A) receptors associated protein like 3
GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1
GABPA	GA-binding protein transcription factor, alpha subunit (60kD)
GABPAP	GA-binding protein transcription factor, alpha subunit pseudogene
GABPB1	GA-binding protein transcription factor, beta subunit 1 (53kD)
GABPB2	GA-binding protein transcription factor, beta subunit 2 (47kD)
GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2
GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3
GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4
GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5
GABRA6	gamma-aminobutyric acid (GABA) A receptor, alpha 6
GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1
GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2
GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3
GABRD	gamma-aminobutyric acid (GABA) A receptor, delta
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon
GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1
GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2
GABRG3	gamma-aminobutyric acid (GABA) A receptor, gamma 3
GABRP	gamma-aminobutyric acid (GABA) A receptor, pi
GABRR1	gamma-aminobutyric acid (GABA) receptor, rho 1
GABRR2	gamma-aminobutyric acid (GABA) receptor, rho 2
GAD1	glutamate decarboxylase 1 (brain, 67kD)
GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kD)
GAD3	glutamate decarboxylase 3
GADD45A	growth arrest and DNA-damage-inducible, alpha
GADD45B	growth arrest and DNA-damage-inducible, beta
GADD45G	growth arrest and DNA-damage-inducible, gamma
GAGE1	G antigen 1
GAGE2	G antigen 2
GAGE3	G antigen 3
GAGE4	G antigen 4
GAGE5	G antigen 5
GAGE6	G antigen 6
GAGE7	G antigen 7
GAGE7B	G antigen 7B
GAGE8	G antigen 8
GAGEB1	G antigen, family B, 1 (prostate associated)
GAGEC1	G antigen, family C, 1
GAGEC2	G antigen, family C, 2
GAGED1	G antigen, family D, 1
GAGED2	G antigen, family D, 2
GAGED3	G antigen, family D, 3
GAK	cyclin G associated kinase
GAL	galanin
GALC	galactosylceramidase (Krabbe disease)
GALE	galactose-4-epimerase, UDP-
GALGT	UDP-N-acetyl-alpha-D-galactosamine:(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase (GalNAc-T)
GALK1	galactokinase 1
GALK2	galactokinase 2
GALNS	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)
GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
GALNT4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)
GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)
GALNT6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)
GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
GALNT8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 8 (GalNAc-T8)
GALNT9	reserved
GALR1	galanin receptor 1
GALR2	galanin receptor 2
GALR3	galanin receptor 3
GALT	galactose-1-phosphate uridylyltransferase
GAMT	guanidinoacetate N-methyltransferase
GAN	giant axonal neuropathy
GANAB	glucosidase, alpha; neutral AB
GANC	glucosidase, alpha; neutral C
GAP43	growth associated protein 43
GAPD	glyceraldehyde-3-phosphate dehydrogenase
GAPDL1	glyceraldehyde-3-phosphate dehydrogenase-like 1
GAPDL10	glyceraldehyde-3-phosphate dehydrogenase-like 10
GAPDL11	glyceraldehyde-3-phosphate dehydrogenase-like 11
GAPDL12	glyceraldehyde-3-phosphate dehydrogenase-like 12
GAPDL13	glyceraldehyde-3-phosphate dehydrogenase-like 13
GAPDL14	glyceraldehyde-3-phosphate dehydrogenase-like 14
GAPDL15	glyceraldehyde-3-phosphate dehydrogenase-like 15
GAPDL16	glyceraldehyde-3-phosphate dehydrogenase-like 16
GAPDL17	glyceraldehyde-3-phosphate dehydrogenase-like 17
GAPDL2	glyceraldehyde-3-phosphate dehydrogenase-like 2
GAPDL3	glyceraldehyde-3-phosphate dehydrogenase-like 3
GAPDL4	glyceraldehyde-3-phosphate dehydrogenase-like 4
GAPDL6	glyceraldehyde-3-phosphate dehydrogenase-like 6
GAPDL7	glyceraldehyde-3-phosphate dehydrogenase-like 7
GAPDL8	glyceraldehyde-3-phosphate dehydrogenase-like 8
GAPDL9	glyceraldehyde-3-phosphate dehydrogenase-like 9
GAPDP1	glyceraldehyde-3-phosphate dehydrogenase pseudogene 1
GAPDP14	glyceraldehyde-3-phosphate dehydrogenase pseudogene 14
GARP	glycoprotein A repetitions predominant
GARS	glycyl-tRNA synthetase
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GAS	gastrin
GAS1	growth arrest-specific 1
GAS11	growth arrest-specific 11
GAS2	growth arrest-specific 2
GAS6	growth arrest-specific 6
GAS7	growth arrest-specific 7
GATA1	GATA-binding protein 1 (globin transcription factor 1)
GATA2	GATA-binding protein 2
GATA3	GATA-binding protein 3
GATA4	GATA-binding protein 4
GATA6	GATA-binding protein 6
GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
GBA	glucosidase, beta; acid (includes glucosylceramidase)
GBAP	glucosidase, beta; acid, pseudogene
GBAS	glioblastoma amplified sequence
GBE1	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)
GBF1	golgi-specific brefeldin A resistance factor 1
GBP1	guanylate binding protein 1, interferon-inducible, 67kD
GBP2	guanylate binding protein 2, interferon-inducible
GBP3	guanylate binding protein 3
GBX1	gastrulation brain homeo box 1
GBX2	gastrulation brain homeo box 2
GC	group-specific component (vitamin D binding protein)
GCAT	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)
GCDH	glutaryl-Coenzyme A dehydrogenase
GCF1	growth control factor 1
GCG	glucagon
GCGR	glucagon receptor
GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)
GCHFR	GTP cyclohydrolase I feedback regulatory protein
GCK	glucokinase (hexokinase 4, maturity onset diabetes of the young 2)
GCKR	glucokinase (hexokinase 4) regulatory protein
GCLC	glutamate-cysteine ligase, catalytic subunit
GCLM	glutamate-cysteine ligase, modifier subunit
GCMA	glial cells missing (Drosophila) homolog a
GCMB	glial cells missing (Drosophila) homolog b
GCN1L1	GCN1 (general control of amino-acid synthesis 1, yeast)-like 1
GCN5L1	GCN5 (general control of amino-acid synthesis, yeast, homolog)-like 1
GCN5L2	GCN5 (general control of amino-acid synthesis, yeast, homolog)-like 2
GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)
GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type
GCP	green cone pigment (color blindness, deutan)
GCSH	glycine cleavage system protein H (aminomethyl carrier)
GCSL	glycine cleavage system protein L
GCTG	gamma-glutamylcyclotransferase
GCY	growth control, Y chromosome influenced
GDA	guanine deaminase
GDAP1L1	ganglioside-induced differentiation-associated protein 1-like 1
GDF1	growth differentiation factor 1
GDF10	growth differentiation factor 10
GDF11	growth differentiation factor 11
GDF2	growth differentiation factor 2
GDF3	growth differentiation factor 3
GDF4	growth differentiation factor 4
GDF5	growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)
GDF6	growth differentiation factor 6
GDF7	growth differentiation factor 7
GDF8	growth differentiation factor 8
GDF9	growth differentiation factor 9
GDH	glucose dehydrogenase
GDI1	GDP dissociation inhibitor 1
GDI2	GDP dissociation inhibitor 2
GDI2P	GDP dissociation inhibitor 2 pseudogene
GDNF	glial cell derived neurotrophic factor
GEM	GTP-binding protein overexpressed in skeletal muscle
GFAP	glial fibrillary acidic protein
GFER	growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)
GFI1	growth factor independent 1
GFI1B	growth factor independent 1B (potential regulator of CDKN1A, translocated in CML)
GFI2	growth factor independent 2
GFPT1	glutamine-fructose-6-phosphate transaminase 1
GFPT2	glutamine-fructose-6-phosphate transaminase 2
GFRA1	GDNF family receptor alpha 1
GFRA2	GDNF family receptor alpha 2
GFRA3	GDNF family receptor alpha 3
GGCX	gamma-glutamyl carboxylase
GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
GGPS1	geranylgeranyl diphosphate synthase 1
GGT1	gamma-glutamyltransferase 1
GGT2	gamma-glutamyltransferase 2
GGT3	gamma-glutamyltransferase 3
GGTA1	glycoprotein, alpha-galactosyltransferase 1
GGTA1P	glycoprotein, alpha-galactosyltransferase 1 pseudogene
GGTL1	gamma-glutamyltransferase-like 1
GGTL2	gamma-glutamyltransferase-like 2
GGTL3	gamma-glutamyltransferase-like 3
GGTLA1	gamma-glutamyltransferase-like activity 1
GH1	growth hormone 1
GH2	growth hormone 2
GHR	growth hormone receptor
GHRH	growth hormone releasing hormone
GHRHR	growth hormone releasing hormone receptor
GHSR	growth hormone secretagogue receptor
GIF	gastric intrinsic factor (vitamin B synthesis)
GINGF	gingival fibromatosis
GIP	gastric inhibitory polypeptide
GIPR	gastric inhibitory polypeptide receptor
GIT1	G protein-coupled receptor kinase-interactor 1
GIT2	G protein-coupled receptor kinase-interactor 2
GJA1	gap junction protein, alpha 1, 43kD (connexin 43)
GJA1P1	gap junction protein, alpha 1, 43kD (connexin 43) pseudogene 1
GJA2	gap junction protein, alpha 2, 38kD (connexin 38)
GJA3	gap junction protein, alpha 3, 46kD (connexin 46)
GJA4	gap junction protein, alpha 4, 37kD (connexin 37)
GJA5	gap junction protein, alpha 5, 40kD (connexin 40)
GJA7	gap junction protein, alpha 7, 45kD (connexin 45)
GJA8	gap junction protein, alpha 8, 50kD (connexin 50)
GJAL	gap junction protein, alpha-like
GJB1	gap junction protein, beta 1, 32kD (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)
GJB2	gap junction protein, beta 2, 26kD (connexin 26)
GJB3	gap junction protein, beta 3, 31kD (connexin 31)
GJB4	gap junction protein, beta 4 (connexin 30.3)
GJB5	gap junction protein, beta 5 (connexin 31.1)
GJB6	gap junction protein, beta 6 (connexin 30)
GK	glycerol kinase
GKP1	glycerol kinase pseudogene 1
GKP2	glycerol kinase pseudogene 2
GKP3	glycerol kinase pseudogene 3
GKP4	glycerol kinase pseudogene 4
GKP5	glycerol kinase pseudogene 5
GKP6	glycerol kinase pseudogene 6
GLA	galactosidase, alpha
GLAT	galactose enzyme activator
GLB1	galactosidase, beta 1
GLC1B	glaucoma 1, open angle, B (adult-onset)
GLC1C	glaucoma 1, open angle, C
GLC1D	glaucoma 1, open angle, D (adult-onset)
GLC1E	glaucoma 1, open angle, E (adult-onset)
GLC1F	glaucoma 1, open angle, F (adult-onset)
GLC2A	glaucoma 2, angle closure
GLC3B	glaucoma 3, primary infantile, B
GLDC	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)
GLDCP	glycine dehydrogenase (decarboxylase) pseudogene
GLE1L	GLE1 (yeast homolog)-like, RNA export mediator
GLG1	Golgi apparatus protein 1
GLI	glioma-associated oncogene homolog (zinc finger protein)
GLI2	GLI-Kruppel family member GLI2
GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)
GLI4	GLI-Kruppel family member GLI4
GLO1	glyoxalase I
GLP1R	glucagon-like peptide 1 receptor
GLP2R	glucagon-like peptide 2 receptor
GLRA1	glycine receptor, alpha 1 (startle disease/hyperekplexia, stiff man syndrome)
GLRA2	glycine receptor, alpha 2
GLRA3	glycine receptor, alpha 3
GLRB	glycine receptor, beta
GLRX	glutaredoxin (thioltransferase)
GLS	glutaminase
GLTSCR1	glioma tumor suppressor candidate region gene 1
GLTSCR2	glioma tumor suppressor candidate region gene 2
GLUD1	glutamate dehydrogenase 1
GLUDP1	glutamate dehydrogenase pseudogene 1
GLUDP2	glutamate dehydrogenase pseudogene 2
GLUDP3	glutamate dehydrogenase pseudogene 3
GLUDP4	glutamate dehydrogenase pseudogene 4
GLUDP5	glutamate dehydrogenase pseudogene 5
